top - 11:16:45 up 43 min,  1 user,  load average: 0.50, 0.50, 0.4
Tasks: 366 total,   2 running, 364 sleeping,   0 stopped,   0 zom
%Cpu(s): 11.7 us,  3.6 sy,  0.0 ni, 84.7 id,  0.0 wa,  0.0 hi,  0
MiB Mem :   7943.5 total,   4115.8 free,   1437.1 used,   2390.6 
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   6104.6 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM
    131 root       0 -20       0      0      0 I   0.0   0.0
    133 root      20   0       0      0      0 S   0.0   0.0
    134 root       0 -20       0      0      0 I   0.0   0.0
    135 root      20   0       0      0      0 S   0.0   0.0
    136 root       0 -20       0      0      0 I   0.0   0.0
    137 root      20   0       0      0      0 I   0.0   0.0
    140 root       0 -20       0      0      0 I   0.0   0.0
    141 root       0 -20       0      0      0 I   0.0   0.0
    145 root      20   0       0      0      0 I   0.0   0.0
    151 root       0 -20       0      0      0 I   0.0   0.0
    153 root       0 -20       0      0      0 I   0.0   0.0
    154 root       0 -20       0      0      0 I   0.0   0.0
    155 root       0 -20       0      0      0 I   0.0   0.0
    159 root       0 -20       0      0      0 I   0.0   0.0
    209 root       0 -20       0      0      0 I   0.0   0.0
    211 root       0 -20       0      0      0 I   0.0   0.0
    212 root       0 -20       0      0      0 I   0.0   0.0
    213 root       0 -20       0      0      0 I   0.0   0.0
    214 root       0 -20       0      0      0 I   0.0   0.0
    225 root      20   0       0      0      0 I   0.0   0.0
    226 root       0 -20       0      0      0 I   0.0   0.0
    227 root       0 -20       0      0      0 I   0.0   0.0
    229 root      20   0       0      0      0 S   0.0   0.0
    230 root       0 -20       0      0      0 I   0.0   0.0
    231 root      20   0       0      0      0 S   0.0   0.0
    232 root       0 -20       0      0      0 I   0.0   0.0
    233 root      20   0       0      0      0 S   0.0   0.0
    234 root       0 -20       0      0      0 I   0.0   0.0
    235 root      20   0       0      0      0 S   0.0   0.0
    236 root       0 -20       0      0      0 I   0.0   0.0
    237 root      20   0       0      0      0 S   0.0   0.0
    238 root       0 -20       0      0      0 I   0.0   0.0
    239 root      20   0       0      0      0 S   0.0   0.0
    240 root       0 -20       0      0      0 I   0.0   0.0
    241 root      20   0       0      0      0 S   0.0   0.0
    242 root       0 -20       0      0      0 I   0.0   0.0
    243 root      20   0       0      0      0 S   0.0   0.0
    244 root       0 -20       0      0      0 I   0.0   0.0
    245 root      20   0       0      0      0 S   0.0   0.0
    246 root       0 -20       0      0      0 I   0.0   0.0
    247 root      20   0       0      0      0 S   0.0   0.0
    248 root       0 -20       0      0      0 I   0.0   0.0
    249 root      20   0       0      0      0 S   0.0   0.0
    250 root       0 -20       0      0      0 I   0.0   0.0
    251 root      20   0       0      0      0 S   0.0   0.0
    252 root       0 -20       0      0      0 I   0.0   0.0
    253 root      20   0       0      0      0 S   0.0   0.0
    254 root       0 -20       0      0      0 I   0.0   0.0
    255 root      20   0       0      0      0 S   0.0   0.0
    256 root       0 -20       0      0      0 I   0.0   0.0
    257 root      20   0       0      0      0 S   0.0   0.0
    258 root       0 -20       0      0      0 I   0.0   0.0
    259 root      20   0       0      0      0 S   0.0   0.0
    260 root       0 -20       0      0      0 I   0.0   0.0
    261 root      20   0       0      0      0 S   0.0   0.0
    262 root       0 -20       0      0      0 I   0.0   0.0
    263 root      20   0       0      0      0 S   0.0   0.0
    264 root       0 -20       0      0      0 I   0.0   0.0
    265 root      20   0       0      0      0 S   0.0   0.0
    266 root       0 -20       0      0      0 I   0.0   0.0
    267 root      20   0       0      0      0 S   0.0   0.0
    268 root       0 -20       0      0      0 I   0.0   0.0
    269 root      20   0       0      0      0 S   0.0   0.0
    270 root       0 -20       0      0      0 I   0.0   0.0
    271 root      20   0       0      0      0 S   0.0   0.0
    272 root       0 -20       0      0      0 I   0.0   0.0
    273 root      20   0       0      0      0 S   0.0   0.0
    274 root       0 -20       0      0      0 I   0.0   0.0
    275 root      20   0       0      0      0 S   0.0   0.0
    276 root       0 -20       0      0      0 I   0.0   0.0
    277 root      20   0       0      0      0 S   0.0   0.0
    278 root       0 -20       0      0      0 I   0.0   0.0
    279 root      20   0       0      0      0 S   0.0   0.0
    280 root       0 -20       0      0      0 I   0.0   0.0
    281 root      20   0       0      0      0 S   0.0   0.0
    282 root       0 -20       0      0      0 I   0.0   0.0
    283 root      20   0       0      0      0 S   0.0   0.0
    284 root       0 -20       0      0      0 I   0.0   0.0
    285 root      20   0       0      0      0 S   0.0   0.0
    286 root       0 -20       0      0      0 I   0.0   0.0
    287 root      20   0       0      0      0 S   0.0   0.0
    288 root       0 -20       0      0      0 I   0.0   0.0
    318 root      20   0       0      0      0 S   0.0   0.0
    319 root       0 -20       0      0      0 I   0.0   0.0
    346 root      20   0       0      0      0 S   0.0   0.0
    347 root       0 -20       0      0      0 I   0.0   0.0
    386 root      19  -1   56432  14792  13768 S   0.0   0.2
    413 root      20   0  152564   1420   1280 S   0.0   0.0
    434 root      20   0   27204   7024   4720 S   0.0   0.1
    437 root     -51   0       0      0      0 S   0.0   0.0
    438 root       0 -20       0      0      0 I   0.0   0.0
    503 root     -51   0       0      0      0 S   0.0   0.0
    505 root     -51   0       0      0      0 S   0.0   0.0
    507 root     -51   0       0      0      0 S   0.0   0.0
    537 root      20   0       0      0      0 I   0.0   0.0
    542 root       0 -20       0      0      0 I   0.0   0.0
    612 systemd+  20   0   14836   6784   6016 S   0.0   0.1
    625 root      20   0       0      0      0 I   0.0   0.0
    629 systemd+  20   0   25540  13436   9344 S   0.0   0.2
    630 root       0 -20       0      0      0 I   0.0   0.0
    632 systemd+  20   0   89388   7296   6528 S   0.0   0.1
    654 root      20   0   53748  11392   9600 S   0.0   0.1
    659 root      20   0  243660   8576   7424 S   0.0   0.1
    786 root      20   0  239976   7384   6616 S   0.0   0.1
    788 root      20   0    2816   1792   1792 S   0.0   0.0
    795 avahi     20   0    7632   3968   3712 S   0.0   0.0
    796 root      20   0   10488   5376   4992 S   0.0   0.1
    797 root      20   0    9496   2816   2688 S   0.0   0.0
    799 message+  20   0   10928   5760   3840 S   0.0   0.1
    800 root      20   0  260988  17912  15480 S   0.0   0.2
    809 root      20   0   82848   3712   3456 S   0.0   0.0
    811 root      20   0   41060  20736  11648 S   0.0   0.3
    813 root      20   0  242972  10680   7372 S   0.0   0.1
    814 root      20   0  240092   7424   6784 S   0.0   0.1
    815 syslog    20   0  222404   6528   4352 S   0.0   0.1
    823 root      20   0 1688916  31228  19840 S   0.0   0.4
    830 root      20   0  236376   6656   6272 S   0.0   0.1
    836 root      20   0   15456   7552   6528 S   0.0   0.1
    842 root      20   0  467044  13256  10440 S   0.0   0.2
    843 root      20   0   16504   6272   5632 S   0.0   0.1
    850 avahi     20   0    7444   1280   1024 S   0.0   0.0
    892 root      20   0  317960  11972  10308 S   0.0   0.1
    919 root      20   0  118140  23424  14848 S   0.0   0.3
    952 root      20   0   73012  13696  11648 S   0.0   0.2
    961 root      20   0  241216   8960   8064 S   0.0   0.1
    986 root      20   0  172632  11264   9984 S   0.0   0.1
    990 root      20   0       0      0      0 I   0.0   0.0
    993 root      20   0  391652  10496   9216 S   0.0   0.1
